Date,Actual,Predicted
2023-01-01,376.5727038063218,321.80088992653714
2023-01-02,335.03598630935784,304.7551024310854
2023-01-03,393.3265534940496,330.60112607020415
2023-01-04,381.9297695179599,333.90266650659237
2023-01-05,394.960202197193,332.6284578398567
2023-01-06,317.0748924361262,334.4972461777543
2023-01-07,416.76749409561455,343.4055130040104
2023-01-08,372.2082074368965,348.30627939818834
2023-01-09,397.1636563347503,310.108627621181
2023-01-10,354.2018814574894,317.1186114762948
2023-01-11,387.2554781012514,306.8840168963588
2023-01-12,353.9316887365269,318.14753699929634
2023-01-13,362.5246207860839,326.54465876216574
2023-01-14,413.2806270773357,327.2912395827262
2023-01-15,371.18635198473305,324.20316935396045
2023-01-16,379.34865746359446,304.7625530269504
2023-01-17,392.4013546137751,313.46099523596337
2023-01-18,384.9136377594521,309.49998483782963
2023-01-19,378.0083781028715,305.5816455328676
2023-01-20,382.2992200493245,304.0252939568981
2023-01-21,423.0683117047655,308.5782657741465
2023-01-22,373.84762405932827,321.39193722509265
2023-01-23,379.02198093429934,313.1231212951349
2023-01-24,396.01308792015226,337.912624557382
2023-01-25,397.11051865915965,341.5688408445027
2023-01-26,398.7406061112076,334.21048247535583
2023-01-27,387.7746044405837,320.9439136091263
2023-01-28,352.1399017453903,325.8958090991939
2023-01-29,407.66863064602194,326.2144284191781
2023-01-30,352.0730921396262,325.1540603553352
2023-01-31,381.0527093047807,338.8690739096151
2023-02-01,378.2157531888348,372.55576525758147
2023-02-02,392.0185032573621,362.2210338957653
2023-02-03,399.8765183952916,348.149853527357
2023-02-04,399.7284144982274,339.21543945103906
2023-02-05,401.7396852739277,355.3311320490367
2023-02-06,425.5754955703949,350.1511039807486
2023-02-07,402.3719562195016,361.0468744011943
2023-02-08,388.418137483409,364.58467344222606
2023-02-09,412.5830135549891,349.9915737302379
2023-02-10,417.0906799677148,350.3573354018375
2023-02-11,368.7491138864821,355.7748168355946
2023-02-12,405.2492715862191,352.42844122103844
2023-02-13,407.32472503544,324.5790869706267
2023-02-14,387.3500001220221,329.77362345317147
2023-02-15,420.8154064554544,337.78287985430126
2023-02-16,390.3001584485714,343.7154113087267
2023-02-17,395.8127992586528,350.25034365683604
2023-02-18,389.83983370354457,351.87968775112734
2023-02-19,393.6128511408513,335.3474846914063
2023-02-20,371.3757684513179,345.58057440374535
2023-02-21,364.50025253733605,349.8762763829856
2023-02-22,425.1913714537214,354.4491353986759
2023-02-23,376.3620432228554,358.0868259422568
2023-02-24,373.4734232000958,360.2113706558542
2023-02-25,350.23346791714766,354.48978705555567
2023-02-26,380.52203523543193,344.0359486575737
2023-02-27,366.839474321072,340.71434294991593
2023-02-28,426.14157339194935,337.5437833292211
2023-03-01,420.1963417868527,360.1864344008222
2023-03-02,386.23699309644553,356.0112953167825
2023-03-03,445.04871610688616,342.3680159076023
2023-03-04,419.6353097398319,334.52798284149816
2023-03-05,393.5033723298275,350.2582499463902
2023-03-06,350.01188570252856,355.81759953437063
2023-03-07,445.8188514518149,359.4517036625046
2023-03-08,372.2085506647281,359.19192148267246
2023-03-09,367.09202506086217,350.1232322646114
2023-03-10,420.4514086401928,355.0376810420072
2023-03-11,448.7950481267855,355.3092036892851
2023-03-12,427.6854563702104,348.827805105635
2023-03-13,411.2781824010472,338.3526496187419
2023-03-14,411.8950868333057,339.19705983611186
2023-03-15,417.0683111756061,343.09326427993255
2023-03-16,415.1785717957353,349.88293042271545
2023-03-17,405.6238284793875,348.6461210745898
2023-03-18,402.0840220790376,354.4733122820322
2023-03-19,398.7481374420096,344.7126886507701
2023-03-20,384.92070822266646,347.50357504788246
2023-03-21,394.3864984626645,344.7586707542645
2023-03-22,366.1408637160922,353.00898813609274
2023-03-23,398.033207464105,358.4592917465816
2023-03-24,380.2281778569816,359.8831149450849
2023-03-25,377.9282136556846,351.3965308000523
2023-03-26,403.5978830230696,344.14168162438
2023-03-27,427.840045726892,363.1914443321509
2023-03-28,418.3663321200463,355.9934655920939
2023-03-29,368.58998792753647,361.49945160135803
2023-03-30,380.20743726859325,350.0550352487989
2023-03-31,418.8154237597643,346.635118248902
2023-04-01,373.65152231845576,380.0932810615339
2023-04-02,388.8086071892815,367.84646856774197
2023-04-03,404.302312169713,348.1593432115249
2023-04-04,373.93438109194926,356.04170054447155
2023-04-05,395.4087803121412,364.69955019012247
2023-04-06,366.62076029085785,360.46397362429775
2023-04-07,381.2739173101977,338.3485172550832
2023-04-08,399.6969088720727,339.7571713405775
2023-04-09,361.4413955185886,331.2550988250322
2023-04-10,402.11076494843,331.8916899736672
2023-04-11,392.90851421068834,332.44034989039756
2023-04-12,404.3510692775649,331.59305289863113
2023-04-13,397.7795528705152,335.4416662576514
2023-04-14,420.5840787886988,342.2467919556015
2023-04-15,395.8057602421801,354.38093546877514
2023-04-16,384.71315936671687,339.0082733231355
2023-04-17,395.7472202498676,347.72789338450934
2023-04-18,404.1672307699497,345.9616880744301
2023-04-19,394.2784715957361,347.84006525286645
2023-04-20,394.1131040132996,345.8186177145513
2023-04-21,379.2614364330868,336.9371208926414
2023-04-22,380.043251838203,339.8431670764966
2023-04-23,365.24916475322806,342.65527063061364
2023-04-24,428.2928050529607,352.0232887889099
2023-04-25,368.42400548139625,351.2274038343366
2023-04-26,379.4431662333038,360.59420619685466
2023-04-27,378.933124877838,355.34593708806193
2023-04-28,411.1997577281108,334.15367357594664
2023-04-29,387.4022766233814,333.1037711820776
2023-04-30,418.2561116426966,341.82387091381827
2023-05-01,361.5301875151226,325.9980929169192
2023-05-02,380.579883244476,328.6293764051581
2023-05-03,358.29305893480483,339.0341221750667
2023-05-04,417.90298255546776,341.3223840715186
2023-05-05,351.24803161940974,323.0772099606867
2023-05-06,381.1964142045405,319.7975679672694
2023-05-07,387.675537618642,321.04525515867994
2023-05-08,383.27598194903,330.8256928148561
2023-05-09,371.2942468224458,330.837501332464
2023-05-10,372.4035860053315,320.1824609987286
2023-05-11,375.8762294395822,325.8806857683774
2023-05-12,372.0599599674303,339.5500565606861
2023-05-13,394.2775823358982,330.09465255220647
2023-05-14,419.21046003182704,317.8503001545313
2023-05-15,363.8501642998433,329.29676366541213
2023-05-16,347.60394040841845,331.322273039621
2023-05-17,373.2343590329749,337.0651573918739
2023-05-18,426.5941867530864,350.2526881918647
2023-05-19,358.9265086406054,341.7123755549491
2023-05-20,407.7823361088813,317.0905821343022
2023-05-21,408.5540162815288,309.85720116608553
2023-05-22,363.92823516584014,318.95069475195726
2023-05-23,386.3796615837055,322.6944023685885
2023-05-24,407.5679324625708,338.4635063652389
2023-05-25,367.41744518025024,341.60880462645656
2023-05-26,370.9283927979528,326.1376290282349
2023-05-27,363.3663817210271,323.71883689892695
2023-05-28,354.70486538614267,322.312979146838
2023-05-29,362.0144490986799,349.24015862666363
2023-05-30,350.5211946647549,345.36892438697504
2023-05-31,375.6816693651845,336.31773574855504
2023-06-01,334.60053537882715,306.20766658673705
2023-06-02,354.67571823581494,313.62500764452557
2023-06-03,318.8820870759275,326.0354707725119
2023-06-04,356.61760464428914,326.2010979762936
2023-06-05,366.6705792321785,303.3780479326383
2023-06-06,310.1252871485709,306.132967007812
2023-06-07,357.48113139695147,314.0344162487092
2023-06-08,374.5533798494658,317.4162696001667
2023-06-09,325.80717962617587,315.17795348979433
2023-06-10,383.45144773675406,318.83646334948367
2023-06-11,358.3803801873209,320.7358831940205
2023-06-12,335.89976288483183,318.6086628698408
2023-06-13,348.8846184468459,317.97152900650707
2023-06-14,361.1665382504344,313.60959052252156
2023-06-15,351.52010782824823,304.26993811952286
2023-06-16,360.7751198489274,310.59481684442443
2023-06-17,331.5865281384127,308.7085948602559
2023-06-18,353.3872164807216,298.2140252626499
2023-06-19,321.7257100619004,299.20185098792047
2023-06-20,347.775478773026,301.71897767176887
2023-06-21,331.9218471707042,307.7948795492925
2023-06-22,335.28940114820466,312.72538817665094
2023-06-23,374.7218635042087,306.41591751120484
2023-06-24,371.8262024118854,291.0062855725742
2023-06-25,362.1827624181435,295.7461399254405
2023-06-26,328.1537447065484,314.3805874026959
2023-06-27,343.671831006104,318.945841287097
2023-06-28,374.2619539995837,314.5320601180163
2023-06-29,352.8343382727981,306.8539547730121
2023-06-30,396.3865907996339,306.3087044927655
2023-07-01,332.8663567878874,295.83463598667106
2023-07-02,328.8409823298006,285.29762506456717
2023-07-03,318.81767071595,278.87349293397676
2023-07-04,327.67081809564564,279.5796527709258
2023-07-05,321.9506032723891,283.2584400958512
2023-07-06,339.1621735337718,271.63255320460115
2023-07-07,344.1340463358917,274.0603545654903
